Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Connecticut 4,CT-04,2.68,0.1,1.6,22.2,38,14,47.2
Connecticut 5,CT-05,2.58,0.4,1.6,23.9,27.2,17.9,51.9
Delaware At Large,DE-00,2.58,10.2,5.4,9.7,50.7,28.2,19.3
District of Columbia,,2.23,0,2.4,34,64.6,30.1,3.9
Florida 1,FL-01,2.55,10.8,5,2.6,23.9,74.9,0.2
Florida 2,FL-02,2.36,17.8,5.4,2.8,16.4,81.8,0.6
Florida 3,FL-03,2.59,9.1,3.7,5.1,7.4,90.4,1.2
Florida 4,FL-04,2.57,13.1,5.9,3.9,6.6,91.5,0.8
Florida 5,FL-05,2.53,26.2,8.8,1.3,7.6,91.3,0.2
Florida 6,FL-06,2.5,16.8,9.4,1.8,12.4,86.2,0.3
Florida 7,FL-07,2.56,8.7,6.4,1.9,5.7,92.8,0.7
Florida 8,FL-08,2.6,8.7,5.9,2.5,6.1,92.6,0.3
Florida 9,FL-09,2.53,9.7,3.2,0.8,5.7,93.6,0.2
Florida 10,FL-10,2.19,10.5,1.3,3.1,4.6,94,0.7
Florida 11,FL-11,2.45,4.4,3.7,6.4,3,95.9,0.3
Florida 12,FL-12,2.59,18.8,7.6,2.5,4.8,93.9,0.3
Florida 13,FL-13,2.31,13.7,5,1.6,4.5,94.2,0.2
Florida 14,FL-14,2.37,9.3,6.6,0.5,2.2,96.5,0.1
Florida 15,FL-15,2.45,10.2,7.1,1,7.4,91.4,0.2
Florida 16,FL-16,2.52,14.4,6.8,0.7,3.1,95.4,0.1
Florida 17,FL-17,2.96,2.5,1.9,3.2,3.1,90.2,0.1
Florida 18,FL-18,2.45,2.9,3.5,7.9,2.3,90.7,0.1
Florida 19,FL-19,2.39,3.5,2.9,0.4,1.8,95.4,0.1
Florida 20,FL-20,2.38,3.4,2.3,1.3,3,93.4,0.1
Florida 21,FL-21,2.94,2,2,0.7,N,N,N
Florida 22,FL-22,2.3,2.2,2.4,1.5,2.6,94,0.3
