Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Pennsylvania 17,PA-17,2.43,4.4,2.6,28.7,26,25.3,40.7
Pennsylvania 18,PA-18,2.36,3.2,1.8,18.3,77.4,12.7,7.7
Pennsylvania 19,PA-19,2.46,5.7,4.1,19.2,50.1,23.4,21.5
Rhode Island 1,RI-01,2.49,0.9,1.1,40.3,53.6,8,36.8
Rhode Island 2,RI-02,2.59,1.2,1.7,28.8,48.8,8.4,40.4
South Carolina 1,SC-01,2.53,12.3,7.7,2.8,15.4,83.3,0.5
South Carolina 2,SC-02,2.49,14.8,6.6,3.2,29.5,68.8,0.7
South Carolina 3,SC-03,2.48,21.6,3.8,6.9,37,57,2.6
South Carolina 4,SC-04,2.52,12.9,4.9,6.8,42,52.5,4.1
South Carolina 5,SC-05,2.65,23.2,5,7.6,37.8,56.6,3.9
South Carolina 6,SC-06,2.63,25.8,3.4,7.4,25.2,71.7,1.8
South Dakota At Large,SD-00,2.42,9,4.1,21.3,66.6,25.6,3.8
Tennessee 1,TN-01,2.41,17.3,3.9,8.2,18.3,75.4,2.3
Tennessee 2,TN-02,2.39,10.3,5.5,5.6,35.4,61.9,0.9
Tennessee 3,TN-03,2.47,12.6,4.4,8.3,31.7,64.5,0.8
Tennessee 4,TN-04,2.52,17.5,4,7.6,41.8,52.5,0.9
Tennessee 5,TN-05,2.38,2.3,5.3,6.8,37.4,61.8,0.3
Tennessee 6,TN-06,2.59,11.4,7.4,6.1,35.7,61.7,0.3
Tennessee 7,TN-07,2.68,7.2,7.8,2.6,56.9,41,0.4
Tennessee 8,TN-08,2.48,11.5,5,7.4,51.4,46.5,0.2
Tennessee 9,TN-09,2.49,0.7,2.3,9.3,62.7,36.8,0.2
Texas 1,TX-01,2.64,17.9,3.5,5.6,38.7,59.2,0.1
Texas 2,TX-02,2.71,5.8,7,3.4,55.4,44.2,0
Texas 3,TX-03,2.84,0.7,6.1,0.4,51,48.7,0
Texas 4,TX-04,2.78,11.3,8.1,6.7,44.7,53.1,0.1
Texas 5,TX-05,2.86,12.6,4.3,3.6,39.8,58.3,0
Texas 6,TX-06,2.88,7.1,6.8,3.3,33.9,65.1,0
Texas 7,TX-07,2.39,0.8,4.1,3.3,N,N,N
Texas 8,TX-08,2.73,19.9,9.3,2.2,39.6,59,0
Texas 9,TX-09,2.97,0.8,4.8,0.6,N,N,N
Texas 10,TX-10,2.81,6.1,11.1,2.7,55.5,43.7,0
Texas 11,TX-11,2.6,12,2.7,8.7,47.7,50.2,0.4
Texas 12,TX-12,2.84,6.1,7.8,6.6,37.8,61.2,0.1
Texas 13,TX-13,2.54,8.9,2.5,11.7,65.7,32.5,0.8
Texas 14,TX-14,2.74,9.4,6.7,6,47.9,51,0.1
Texas 15,TX-15,3.18,15.4,7.6,4.2,20.6,75.1,0.4
Texas 16,TX-16,3.04,5,5.3,7,88,11.6,0.1
Texas 17,TX-17,2.75,13.1,5.2,4.8,35.6,63.2,0.2
Texas 18,TX-18,2.74,2,5.2,7.4,50.2,49.3,0.1
Texas 19,TX-19,2.47,8.1,2.9,8.1,57.6,41.2,0.4
Texas 20,TX-20,2.86,1.6,4.7,9.1,N,N,N
Texas 21,TX-21,2.66,5.5,8.8,3.4,N,N,N
Texas 22,TX-22,3.05,4.1,9.3,1,56.4,43.3,0
Texas 23,TX-23,3.12,11.6,8.9,6,36.5,61.1,0.7
Texas 24,TX-24,2.68,1.5,5.2,0.4,N,N,N
Texas 25,TX-25,2.6,8.1,6.7,4.7,42.8,56.2,0.1
Texas 26,TX-26,2.96,4.2,9.6,3.5,47.2,52.3,0.1
Texas 27,TX-27,2.98,7.4,6,3.6,27.5,71.2,0.1
Texas 28,TX-28,3.4,15.1,8.7,3.9,16.7,79.7,0.3
Texas 29,TX-29,3.31,6.1,4.6,4.5,N,N,N
Texas 30,TX-30,2.85,2.2,5.4,7.2,N,N,N
Texas 31,TX-31,2.9,6.9,9.5,3.4,37.9,61.2,0.2
Texas 32,TX-32,2.66,0.6,2.7,5.2,N,N,N
Utah 1,UT-01,3.06,4,5.8,10.4,91.4,7.5,0.1
Utah 2,UT-02,2.89,5.6,6.1,8.3,83.7,13.3,0.2
Utah 3,UT-03,3.54,3.4,7,6.3,91.6,7,0.3
Vermont At Large,VT-00,2.4,6.9,1.8,29.4,28.7,3.9,53.2
Virginia 1,VA-01,2.6,5.6,5.6,5.7,36,53.2,7.7
Virginia 2,VA-02,2.61,2.5,3.1,4.9,38,54.5,6.8
Virginia 3,VA-03,2.5,1.6,2.6,17.6,43,47.6,7.7
Virginia 4,VA-04,2.65,6.2,4.7,6.8,35.2,55.1,7
Virginia 5,VA-05,2.37,15.9,2.7,10.7,22.3,57.1,13.8
Virginia 6,VA-06,2.32,5.6,2.8,16,33.9,47.1,12.5
Virginia 7,VA-07,2.5,2.5,5.6,5.9,32.5,53.8,10.4
Virginia 8,VA-08,2.35,0.3,2.6,6,58.1,38.7,2.4
Virginia 9,VA-09,2.35,20.6,2.3,11.7,12.4,65.2,13.9
Virginia 10,VA-10,2.8,1.4,6.5,5.5,55.9,35.7,5.8
Virginia 11,VA-11,2.88,0.5,5.3,0.9,64,32.5,3.1
Washington 1,WA-01,2.46,3.7,4.6,2.9,49.1,45.4,2.6
Washington 2,WA-02,2.54,9.2,5.4,10.3,45.4,44.6,1.7
Washington 3,WA-03,2.64,8.7,5,9.3,28.7,61.8,1.3
Washington 4,WA-04,2.85,15.6,5.1,9.3,18.9,74.7,1.9
Washington 5,WA-05,2.49,8.7,3.8,17.6,45.6,41.8,4.2
Washington 6,WA-06,2.41,7.2,3,15.4,26.8,62.6,3
Washington 7,WA-07,2.11,0.5,3.3,29.9,40.7,47.6,9.7
Washington 8,WA-08,2.68,5.5,6.4,2.7,55.9,38.8,1.7
Washington 9,WA-09,2.5,6.4,5.1,4.9,41.6,52.6,2.6
West Virginia 1,WV-01,2.35,9.9,2.3,23.8,68.6,20.6,3.8
West Virginia 2,WV-02,2.39,14.4,2.8,13.1,40.1,47.5,4.5
West Virginia 3,WV-03,2.33,17.6,1.8,18,37.4,51,3.1
Wisconsin 1,WI-01,2.56,2,3,15.9,84.2,11.9,2
Wisconsin 2,WI-02,2.44,1.8,4.5,16.9,76.5,17.5,2.8
Wisconsin 3,WI-03,2.44,7.5,4,23.4,68.4,13.9,7.6
Wisconsin 4,WI-04,2.54,0.4,0.9,41.8,85.3,10.5,2.8
Wisconsin 5,WI-05,2.46,0.9,2.6,15.3,81.3,13.3,3.8
Wisconsin 6,WI-06,2.4,4.4,2.5,25.8,77.8,11.9,4.6
Wisconsin 7,WI-07,2.28,6.9,3,20.8,70.2,11.3,6.4
Wisconsin 8,WI-08,2.35,5.6,3.1,17.5,76.9,10.8,4.7
Wyoming At Large,WY-00,2.48,14,3.6,12.5,73.5,19.2,0.5
